incident_id,source,place_name,distance_to_fire_m,place_type,place_role,matched_within_radius_m,address,additional_info,osm_type,osm_id,google_place_id,place_latitude,place_longitude
INC204,google,Mecanica Group sal,96.0,auto_parts_store,place,200,"Byblos byblos, VGX6+P62, Bayrut, Lebanon",google_primary_type=auto_parts_store; google_types=auto_parts_store|store|car_repair|point_of_interest|service|establishment,,,ChIJK8EUr44XHxUREmiVO2Imj-s,33.8992542,35.510524
INC204,google,Stay Fit,96.0,restaurant,place,200,"VGX6+P62, Beirut, Lebanon",google_primary_type=restaurant; google_types=restaurant|food|point_of_interest|establishment,,,ChIJN3hhVlgXHxURZ9OcMy4mr4s,33.8992542,35.510524
INC204,osm,Unnamed military:checkpoint,130.22,military:checkpoint,military,200,,military=checkpoint,way,571333474.0,,33.8999314,35.5085915
INC204,osm,CMA CGM,130.66,office:company,place,200,,office=company,node,6353141485.0,,33.8988547,35.5103168
INC204,osm,Unnamed building,137.27,building:yes,building,200,,building=yes,way,571333473.0,,33.8999762,35.5085129
INC204,osm,Unnamed building,137.6,building:yes,building,200,,building=yes,way,571333472.0,,33.9001559,35.508521
INC204,google,الاسكان,141.6,association_or_organization,place,200,"VGX6+G44 مكتب ليالي، Bayrut, Lebanon",google_primary_type=association_or_organization; google_types=local_government_office|government_office|association_or_organization|point_of_interest|establishment,,,ChIJax2UdgAXHxURkbAqvhmsbm8,33.8987589,35.5103434
INC204,google,مكتب,141.6,corporate_office,place,200,"VGX6+G45, Beirut, Lebanon",google_primary_type=corporate_office; google_types=corporate_office|point_of_interest|establishment,,,ChIJ8RrrQJwXHxUREU5h9c9eMrY,33.8987589,35.5103434
INC204,google,CMA CGM - MERIT,142.32,shipping_service,place,200,"VGX6+G45, Beirut, Lebanon",google_primary_type=shipping_service; google_types=shipping_service|point_of_interest|service|establishment,,,ChIJ6dw1APAWHxURSHdd-fvcnDM,33.8987545,35.5103554
INC204,osm,Unnamed building,152.11,building:yes,building,200,,building=yes,way,834014482.0,,33.8993457,35.5114474
INC204,google,shiplebanon,153.92,google_place,place,200,"VGX6+F6F، Port، Bayrut, Lebanon",google_primary_type=google_place; google_types=point_of_interest|establishment,,,ChIJZUgAvT4XHxURqedSVPgKFZQ,33.898689,35.5105354
INC204,osm,Unnamed building,161.17,building:yes,building,200,,building=yes,way,489235829.0,,33.898599,35.5104477
INC204,google,Gerbaka Skin Clinic,164.52,doctor,place,200,"Beirut, Lebanon",google_primary_type=doctor; google_types=doctor|point_of_interest|health|establishment,,,ChIJxcSLtdYXHxURtjNPdmjqxow,33.8985205,35.5100131
INC204,google,AR Co,167.39,finance,place,200,"VGX6+93R, Beirut, Lebanon",google_primary_type=finance; google_types=finance|point_of_interest|establishment,,,ChIJ4UDLHXoXHxURSX5ghJ-JY3E,33.8984991,35.51014
INC204,osm,Unnamed building,167.53,building:yes,building,200,,building=yes,way,834014483.0,,33.8992748,35.5115911
INC204,google,IRC HR Services,170.29,service,place,200,"Beirut, Lebanon",google_primary_type=service; google_types=point_of_interest|service|establishment,,,ChIJl_Zz9u8WHxURNtYuz2zXxqc,33.8984728,35.5101375
INC204,osm,Unnamed building,171.57,building:yes,building,200,,building=yes,way,571333470.0,,33.9002081,35.508158
